unit_id,connection_type,technology,tier,rsp,state_or_territory,geography,is_this_service_impaired,is_this_service_underperforming,gateway_mac,All hour trimmed mean download speed,All hour minimum download speed,All hour maximum download speed,Busy hour trimmed mean download speed,Busy hour minimum download speed,Busy hour maximum download speed,All hour trimmed mean upload speed,All hour minimum upload speed,All hour maximum upload speed,Busy hour trimmed mean upload speed,Busy hour minimum upload speed,Busy hour maximum upload speed,All hour trimmed mean latency,All hour minimum latency,All hour maximum latency,Busy hour trimmed mean latency,Busy hour minimum latency,Busy hour maximum latency,Average daily outages
2975233,NBN,Fibre to the Node,50/20 Mbps,TPG,NSW,Urban,TRUE,FALSE,C471xxxxxx,43.78,39.65,45.36,43.87,40.17,45.23,8.56,7.69,10.61,8.52,7.73,9.51,6.57,5.96,8.07,6.64,6.05,8.07,0.03
1029377,NBN,Fibre to the Premises,50/20 Mbps,TPG,TAS,Urban,FALSE,FALSE,B4B0xxxxxx,53.09,37.92,53.6,52.08,37.92,53.56,17.97,16.34,18.86,17.84,16.34,18.86,12.51,12.47,12.58,12.54,12.52,12.58,
55971333,NBN,Hybrid Fibre Coaxial,100/20 Mbps,Superloop,NSW,Urban,FALSE,FALSE,F02Fxxxxxx,102.21,70.55,108.88,100.44,70.55,108.73,18.88,18.13,19.14,18.87,18.31,19.01,9.26,7.72,39.27,11.1,8.25,39.27,0.23
4991237,NBN,Fibre to the Curb,100/40 Mbps,Optus,NSW,Urban,FALSE,FALSE,3C37xxxxxx,101.18,87.47,102.16,100.54,89.51,102.01,37.51,36.81,38.16,37.55,37.22,38.01,7.43,6.42,70.93,8.66,6.48,70.93,0
45564677,NBN,Hybrid Fibre Coaxial,100/20 Mbps,Telstra,VIC,Urban,FALSE,FALSE,20B0xxxxxx,108.74,0.01,109.97,107.69,73.66,109.74,18.23,3.92,18.44,18.22,17.88,18.37,9.14,8.59,10.07,9.28,8.84,9.96,0.76
1028872,NBN,Hybrid Fibre Coaxial,50/20 Mbps,TPG,NSW,Urban,FALSE,FALSE,1C3Bxxxxxx,53.33,32.49,53.94,52.99,32.49,53.94,4.69,4.14,4.85,4.7,4.4,4.8,11.88,9.91,17.85,12.1,10.16,13.94,0
1029385,NBN,Fibre to the Node,50/20 Mbps,TPG,NSW,Major Rural,FALSE,FALSE,A4CAxxxxxx,53.03,43.5,53.51,52.98,47.79,53.51,18.16,17.91,18.28,18.14,17.94,18.27,6.05,5.96,6.29,6.08,6.01,6.27,0.14
49336329,NBN,Fibre to the Premises,100/40 Mbps,TPG,NSW,Urban,FALSE,FALSE,881Fxxxxxx,107.91,81.13,108.65,106.54,81.13,108.56,37.63,36.8,37.69,37.64,37.56,37.68,3.9,3.54,5.26,4.02,3.73,5.26,0
5106697,NBN,Fibre to the Node,100/40 Mbps,Aussie Broadband,NSW,Urban,FALSE,FALSE,0011xxxxxx,92.87,45.68,97.49,92.33,56.01,96.43,37.39,35.7,38.07,37.3,36.26,37.83,9.11,5.82,43.6,10.62,7.96,39.42,0.06
39357197,NBN,Fibre to the Node,50/20 Mbps,Dodo & iPrimus,NSW,Major Rural,FALSE,FALSE,BC30xxxxxx,52.94,35.82,53.53,51.9,35.82,53.52,18.86,18.51,18.92,18.85,18.68,18.91,16.57,14.39,28.26,16.68,14.42,23.98,0.45
